1007,"KOORSEN FIRE AND SECURITY, INC.",$3.84,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099759055&contractNumber=GS-07F-252AA&itemNumber=1007,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000042127912
1124,"KOORSEN FIRE AND SECURITY, INC.",$2.55,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758695&contractNumber=GS-07F-252AA&itemNumber=1124,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574733
11873,"KOORSEN FIRE AND SECURITY, INC.",$2.67,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099759065&contractNumber=GS-07F-252AA&itemNumber=11873,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574674
13288,"KOORSEN FIRE AND SECURITY, INC.",$8.54,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758710&contractNumber=GS-07F-252AA&itemNumber=13288,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574750
13305,"KOORSEN FIRE AND SECURITY, INC.",$2.55,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758866&contractNumber=GS-07F-252AA&itemNumber=13305,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574763
14268,"KOORSEN FIRE AND SECURITY, INC.",$2.55,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758886&contractNumber=GS-07F-252AA&itemNumber=14268,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574795
14327,"KOORSEN FIRE AND SECURITY, INC.",$8.54,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758911&contractNumber=GS-07F-252AA&itemNumber=14327,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574740
14418,"KOORSEN FIRE AND SECURITY, INC.",$9.51,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758754&contractNumber=GS-07F-252AA&itemNumber=14418,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574732
1521,"KOORSEN FIRE AND SECURITY, INC.",$3.84,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758962&contractNumber=GS-07F-252AA&itemNumber=1521,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574759
1532,"KOORSEN FIRE AND SECURITY, INC.",$2.55,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758922&contractNumber=GS-07F-252AA&itemNumber=1532,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574734
1539,"KOORSEN FIRE AND SECURITY, INC.",$14.54,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758919&contractNumber=GS-07F-252AA&itemNumber=1539,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574716
1539A,"KOORSEN FIRE AND SECURITY, INC.",$14.54,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758774&contractNumber=GS-07F-252AA&itemNumber=1539A,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574762
16047,"KOORSEN FIRE AND SECURITY, INC.",$2.67,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758782&contractNumber=GS-07F-252AA&itemNumber=16047,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574689
16222,"KOORSEN FIRE AND SECURITY, INC.",$2.67,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758868&contractNumber=GS-07F-252AA&itemNumber=16222,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574735
21882,"KOORSEN FIRE AND SECURITY, INC.",$2.67,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758968&contractNumber=GS-07F-252AA&itemNumber=21882,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574796
240,"BABCO INTERNATIONAL, INC.",$9.37,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1039398312&contractNumber=GS-07F-9970H&itemNumber=240,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000006588236
24489AS,"KOORSEN FIRE AND SECURITY, INC.",$10.60,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099759061&contractNumber=GS-07F-252AA&itemNumber=ASVS4%20%20%20(24489AS),https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574668
250,HC SERVICES FIRE PROTECTION,$90.85,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1111492360&contractNumber=GS-07F-5635P&itemNumber=250,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000042063403
252,DIVINE IMAGING IN,$104.62,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1089711986&contractNumber=GS-21F-0155W&itemNumber=252,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000042063431
254,MEGACITY FIRE PROTECTION,$87.00,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1081647498&contractNumber=GS-07F-0390T&itemNumber=254,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000006588254
259535K,"KOORSEN FIRE AND SECURITY, INC.",$2.67,https://www.gsaadvantage.gov/advantage/contractor/contractor_detail.do?mapName=/catalog/product_detail&oid=1099758783&contractNumber=GS-07F-252AA&itemNumber=259535K,https://www.gsaadvantage.gov/advantage/catalog/product_detail.do?gsin=11000043574775
